site	size	surv	TSF
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	3.555348061	0	>three
siteA	6.396929655	1	>three
siteA	5.204006687	1	>three
siteA	4.59511985	1	>three
siteA	4.787491743	1	>three
siteA	5.049856007	1	>three
siteA	3.871201011	1	>three
siteA	3.17805383	1	>three
siteA	6.104793232	0	>three
siteA	6.298949247	0	>three
siteA	5.123963979	1	>three
siteA	4.86753445	1	>three
siteA	5.105945474	1	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	5.33753808	1	>three
siteA	3.737669618	0	>three
siteA	4.9698133	0	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	3.555348061	1	>three
siteA	4.025351691	1	>three
siteA	6.234410726	1	>three
siteA	2.772588722	0	>three
siteA	4.605170186	1	>three
siteA	4.382026635	0	>three
siteA	3.401197382	0	>three
siteA	4.49980967	1	>three
siteA	4.96284463	1	>three
siteA	4.382026635	1	>three
siteA	4.49980967	1	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	5.65248918	0	>three
siteA	5.988961417	0	>three
siteA	5.991464547	0	>three
siteA	4.276666119	1	>three
siteA	4.276666119	0	>three
siteA	3.871201011	1	>three
siteA	3.871201011	0	>three
siteA	4.025351691	0	>three
siteA	3.17805383	0	>three
siteA	5.036952602	0	>three
siteA	4.276666119	1	>three
siteA	2.995732274	0	>three
siteA	4.382026635	0	>three
siteA	3.912023005	1	>three
siteA	5.669880923	0	>three
siteA	4.787491743	1	>three
siteA	4.700480366	1	>three
siteA	4.248495242	1	>three
siteA	4.248495242	0	>three
siteA	3.688879454	0	>three
siteA	4.189654742	0	>three
siteA	6.376726948	1	>three
siteA	3.555348061	1	>three
siteA	4.477336814	1	>three
siteA	4.189654742	1	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	4.158883083	0	>three
siteA	4.158883083	0	>three
siteA	4.49980967	1	>three
siteA	4.682131227	1	>three
siteA	4.787491743	0	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	NA	NA	>three
siteA	4.787491743	0	>three
siteA	NA	NA	>three
siteA	5.700443573	1	>three
siteA	NA	NA	>three
siteG	5.036952602	1	>three
siteG	5.480638923	0	>three
siteG	NA	NA	>three
siteG	4.025351691	0	>three
siteG	NA	NA	>three
siteG	3.737669618	0	>three
siteG	3.218875825	0	>three
siteG	3.737669618	0	>three
siteG	3.891820298	0	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	6.035481433	1	>three
siteG	2.995732274	0	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	5.347107531	0	>three
siteG	3.33220451	0	>three
siteG	6.510258341	1	>three
siteG	5.023880521	0	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	5.934894196	0	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteG	NA	NA	>three
siteH	6.040254711	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	7.383989458	1	two
siteH	7.634337236	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	6.758094504	1	two
siteH	5.924255797	1	two
siteH	6.226536669	1	two
siteH	6.98471632	1	two
siteH	6.65929392	1	two
siteH	6.040254711	0	two
siteH	5.877735782	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	6.135564891	1	two
siteH	6.690842277	1	two
siteH	5.030437921	1	two
siteH	6.396929655	1	two
siteH	6.784457063	1	two
siteH	7.167037877	0	two
siteH	7.102499356	0	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	7.272398393	1	two
siteH	7.478169694	1	two
siteH	7.392647521	1	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	7.168579897	1	two
siteH	6.728628613	0	two
siteH	5.65248918	1	two
siteH	5.65248918	0	two
siteH	7.549609165	0	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
siteH	NA	NA	two
